"","species","mean_occ","mean_browsed","sd_occ","sd_browsed","min_occ","max_occ","min_browsed","max_browsed"
"1","Abies alba",42.12,26.88,11.87,12.35,22,64,12,50
"2","Acer sp",29.38,12.62,8.83,7.42,18,40,2,25
"3","Fagus sylvatica",85.5,35,28.39,14.73,47,129,16,60
"4","Fraxinus excelsior",43.88,27.62,14.35,9.81,24,61,13,41
"5","Hedera helix",20.12,5.25,6.38,2.6,13,34,1,9
"6","Lonicera sp",31,20,10.06,7.45,17,44,11,32
"7","Picea abies",22.25,5.62,6.23,3.16,12,31,2,11
"8","Rosa sp",24.62,17.12,8.05,7.08,9,36,5,28
"9","Rubus sp",42.5,25.12,10.8,9.64,28,58,15,46
"10","Vaccinium sp",51,42.25,9.04,10.5,37,62,25,56
